tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
08-09-2026,00:00,16.0,Cerah Berawan,95.0,0.6
08-09-2026,01:00,16.0,Cerah Berawan,95.0,0.6
08-09-2026,02:00,16.0,Cerah Berawan,95.0,0.6
08-09-2026,03:00,16.0,Cerah Berawan,91.0,0.2
08-09-2026,04:00,16.0,Cerah Berawan,91.0,0.2
08-09-2026,05:00,16.0,Cerah Berawan,91.0,0.2
08-09-2026,06:00,19.0,Cerah,92.0,0.4
08-09-2026,07:00,19.0,Cerah,92.0,0.4
08-09-2026,08:00,19.0,Cerah,92.0,0.4
08-09-2026,09:00,23.0,Cerah,67.0,2.1
08-09-2026,10:00,23.0,Cerah,67.0,2.1
08-09-2026,11:00,23.0,Cerah,67.0,2.1
08-09-2026,12:00,22.0,Hujan Ringan,78.0,3.6
08-09-2026,13:00,22.0,Hujan Ringan,78.0,3.6
08-09-2026,14:00,22.0,Hujan Ringan,78.0,3.6
08-09-2026,15:00,18.0,Hujan Ringan,97.0,5.7
08-09-2026,16:00,18.0,Hujan Ringan,97.0,5.7
08-09-2026,17:00,18.0,Hujan Ringan,97.0,5.7
08-09-2026,18:00,17.0,Cerah Berawan,98.0,3.4
08-09-2026,19:00,17.0,Cerah Berawan,98.0,3.4
08-09-2026,20:00,17.0,Cerah Berawan,98.0,3.4
08-09-2026,21:00,17.0,Cerah Berawan,93.0,3.6
08-09-2026,22:00,17.0,Cerah Berawan,93.0,3.6
08-09-2026,23:00,17.0,Cerah Berawan,93.0,3.6
