date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min,river_discharge_p25,river_discharge_p75
2026-08-14,0.03,0.03,0.03,0.05,0.03,0.03,0.03
2026-08-15,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2026-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-17,0.0,0.0,0.0,0.02,0.0,0.0,0.0
2026-08-18,0.0,0.01,0.02,0.08,0.0,0.0,0.02
2026-08-19,0.02,0.02,0.02,0.03,0.02,0.02,0.02
2026-08-20,0.01,0.01,0.01,0.13,0.01,0.01,0.01
2026-08-21,0.02,0.02,0.02,0.06,0.01,0.01,0.03
2026-08-22,0.04,0.04,0.04,0.07,0.03,0.04,0.05
2026-08-23,0.03,0.03,0.02,0.04,0.02,0.02,0.03
2026-08-24,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2026-08-25,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2026-08-26,0.01,0.01,0.01,0.02,0.01,0.01,0.01
2026-08-27,0.01,0.01,0.01,0.02,0.01,0.01,0.01
2026-08-28,0.01,0.01,0.01,0.02,0.01,0.01,0.01
2026-08-29,0.02,0.02,0.01,0.12,0.01,0.01,0.02
2026-08-30,0.04,0.08,0.02,1.02,0.01,0.01,0.06
2026-08-31,0.03,0.12,0.03,1.38,0.0,0.01,0.1
2026-09-01,0.02,0.07,0.02,1.07,0.0,0.01,0.04
2026-09-02,0.02,0.05,0.02,0.47,0.0,0.01,0.04
2026-09-03,0.02,0.05,0.03,0.26,0.01,0.02,0.05
2026-09-04,0.02,0.08,0.03,1.7,0.01,0.02,0.07
2026-09-05,0.05,0.08,0.03,1.06,0.0,0.02,0.06
2026-09-06,0.07,0.09,0.03,0.99,0.0,0.02,0.08
