tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
06-09-2026,04:00,24.0,Kabut/Asap,64.0,5.8
06-09-2026,05:00,24.0,Kabut/Asap,64.0,5.8
06-09-2026,06:00,24.0,Kabut/Asap,64.0,5.8
06-09-2026,07:00,24.0,Kabut/Asap,64.0,5.8
06-09-2026,08:00,24.0,Kabut/Asap,64.0,5.8
06-09-2026,09:00,30.0,Udara Kabur,48.0,6.9
06-09-2026,10:00,30.0,Udara Kabur,48.0,6.9
06-09-2026,11:00,30.0,Udara Kabur,48.0,6.9
06-09-2026,12:00,31.0,Cerah,43.0,10.1
06-09-2026,13:00,31.0,Cerah,43.0,10.1
06-09-2026,14:00,31.0,Cerah,43.0,10.1
06-09-2026,15:00,29.0,Cerah,50.0,10.7
06-09-2026,16:00,29.0,Cerah,50.0,10.7
06-09-2026,17:00,29.0,Cerah,50.0,10.7
06-09-2026,18:00,26.0,Cerah,68.0,2.2
06-09-2026,19:00,26.0,Cerah,68.0,2.2
06-09-2026,20:00,26.0,Cerah,68.0,2.2
06-09-2026,21:00,24.0,Cerah,78.0,5.5
06-09-2026,22:00,24.0,Cerah,78.0,5.5
06-09-2026,23:00,24.0,Cerah,78.0,5.5
