tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
09-09-2026,00:00,16.0,Berawan,96.0,1.7
09-09-2026,01:00,16.0,Berawan,96.0,1.7
09-09-2026,02:00,16.0,Berawan,96.0,1.7
09-09-2026,03:00,15.0,Cerah,95.0,2.4
09-09-2026,04:00,15.0,Cerah,95.0,2.4
09-09-2026,05:00,15.0,Cerah,95.0,2.4
09-09-2026,06:00,18.0,Cerah,93.0,1.1
09-09-2026,07:00,18.0,Cerah,93.0,1.1
09-09-2026,08:00,18.0,Cerah,93.0,1.1
09-09-2026,09:00,23.0,Cerah,55.0,5.4
09-09-2026,10:00,23.0,Cerah,55.0,5.4
09-09-2026,11:00,23.0,Cerah,55.0,5.4
09-09-2026,12:00,24.0,Cerah Berawan,56.0,8.3
09-09-2026,13:00,24.0,Cerah Berawan,56.0,8.3
09-09-2026,14:00,24.0,Cerah Berawan,56.0,8.3
09-09-2026,15:00,19.0,Berawan,90.0,7.2
09-09-2026,16:00,19.0,Berawan,90.0,7.2
09-09-2026,17:00,19.0,Berawan,90.0,7.2
09-09-2026,18:00,17.0,Berawan,98.0,2.9
09-09-2026,19:00,17.0,Berawan,98.0,2.9
09-09-2026,20:00,17.0,Berawan,98.0,2.9
09-09-2026,21:00,16.0,Berawan,95.0,5.3
09-09-2026,22:00,16.0,Berawan,95.0,5.3
09-09-2026,23:00,16.0,Berawan,95.0,5.3
