tanggal,source_id,provider,target_jam,source_datetime,suhu_C,RH_%,rain_mm,wind_kmh,gap_minutes,point_weight,kategori,raw_condition
22-08-2026,ICON,Open-Meteo / DWD ICON,04:00,2026-08-22 04:00:00,20.4,94.0,0.0,7.1,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,05:00,2026-08-22 05:00:00,20.3,93.0,0.0,7.3,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,06:00,2026-08-22 06:00:00,20.3,93.0,0.0,7.8,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,07:00,2026-08-22 07:00:00,22.1,86.0,0.0,6.9,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,08:00,2026-08-22 08:00:00,26.0,71.0,0.0,6.4,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,09:00,2026-08-22 09:00:00,27.6,62.0,0.0,9.0,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,ICON,Open-Meteo / DWD ICON,10:00,2026-08-22 10:00:00,29.4,56.0,0.0,10.1,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,11:00,2026-08-22 11:00:00,31.0,50.0,0.0,11.5,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,12:00,2026-08-22 12:00:00,32.3,45.0,0.0,14.1,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,13:00,2026-08-22 13:00:00,33.1,39.0,0.0,14.4,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,14:00,2026-08-22 14:00:00,33.8,36.0,0.0,14.1,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,15:00,2026-08-22 15:00:00,33.7,37.0,0.0,13.8,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,16:00,2026-08-22 16:00:00,33.3,38.0,0.0,13.5,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,17:00,2026-08-22 17:00:00,32.3,39.0,0.0,13.0,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,18:00,2026-08-22 18:00:00,30.3,45.0,0.0,10.8,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,ICON,Open-Meteo / DWD ICON,19:00,2026-08-22 19:00:00,28.2,53.0,0.0,10.4,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,ICON,Open-Meteo / DWD ICON,20:00,2026-08-22 20:00:00,26.7,65.0,0.0,9.0,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,21:00,2026-08-22 21:00:00,25.4,75.0,0.0,6.1,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,22:00,2026-08-22 22:00:00,24.0,82.0,0.0,5.0,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,ICON,Open-Meteo / DWD ICON,23:00,2026-08-22 23:00:00,22.5,88.0,0.0,6.0,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,00:00,2026-08-22 00:00:00,26.7,74.0,0.0,15.8,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,01:00,2026-08-22 01:00:00,25.9,77.0,0.0,14.3,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,02:00,2026-08-22 02:00:00,25.5,78.0,0.0,12.2,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,03:00,2026-08-22 03:00:00,25.2,78.0,0.0,10.5,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,04:00,2026-08-22 04:00:00,25.0,79.0,0.0,9.8,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,05:00,2026-08-22 05:00:00,24.8,79.0,0.0,7.1,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,06:00,2026-08-22 06:00:00,24.8,79.0,0.0,5.4,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,07:00,2026-08-22 07:00:00,25.2,78.0,0.0,5.8,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,08:00,2026-08-22 08:00:00,26.1,73.0,0.0,6.9,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,09:00,2026-08-22 09:00:00,27.6,67.0,0.0,7.6,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,10:00,2026-08-22 10:00:00,29.4,59.0,0.0,8.8,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,11:00,2026-08-22 11:00:00,31.2,50.0,0.0,10.4,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,12:00,2026-08-22 12:00:00,32.8,43.0,0.0,12.0,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,13:00,2026-08-22 13:00:00,33.9,38.0,0.0,12.4,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,14:00,2026-08-22 14:00:00,34.6,34.0,0.0,12.1,0.0,1.0,Cerah,wmo:0
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,15:00,2026-08-22 15:00:00,34.8,32.0,0.0,9.9,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,16:00,2026-08-22 16:00:00,34.4,32.0,0.0,5.1,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,17:00,2026-08-22 17:00:00,34.4,33.0,0.0,3.3,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,18:00,2026-08-22 18:00:00,33.9,37.0,0.0,15.5,0.0,1.0,Berawan,wmo:3
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,19:00,2026-08-22 19:00:00,32.0,43.0,0.0,22.4,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,20:00,2026-08-22 20:00:00,30.4,50.0,0.0,21.0,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,21:00,2026-08-22 21:00:00,29.2,57.0,0.0,19.8,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,22:00,2026-08-22 22:00:00,28.3,62.0,0.0,17.3,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,METEOFRANCE,Open-Meteo / Meteo-France,23:00,2026-08-22 23:00:00,27.8,64.0,0.0,14.5,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,UKMO,Open-Meteo / UK Met Office,00:00,2026-08-22 00:00:00,21.5,95.0,0.0,5.0,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,01:00,2026-08-22 01:00:00,20.6,96.0,0.0,5.0,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,02:00,2026-08-22 02:00:00,20.3,96.0,0.0,5.4,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,03:00,2026-08-22 03:00:00,20.3,94.0,0.0,6.8,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,04:00,2026-08-22 04:00:00,20.3,91.0,0.0,6.8,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,05:00,2026-08-22 05:00:00,20.1,90.0,0.0,6.8,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,06:00,2026-08-22 06:00:00,20.7,88.0,0.0,6.8,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,07:00,2026-08-22 07:00:00,22.0,86.0,0.0,5.8,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,08:00,2026-08-22 08:00:00,24.5,82.0,0.0,4.3,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,09:00,2026-08-22 09:00:00,26.3,76.0,0.0,9.7,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,10:00,2026-08-22 10:00:00,27.7,68.0,0.0,9.4,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,UKMO,Open-Meteo / UK Met Office,11:00,2026-08-22 11:00:00,28.7,62.0,0.0,10.1,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,UKMO,Open-Meteo / UK Met Office,12:00,2026-08-22 12:00:00,30.0,55.0,0.0,10.4,0.0,1.0,Cerah Berawan,wmo:2
22-08-2026,UKMO,Open-Meteo / UK Met Office,13:00,2026-08-22 13:00:00,30.7,51.0,0.0,10.1,0.0,1.0,Berawan,wmo:3
22-08-2026,UKMO,Open-Meteo / UK Met Office,14:00,2026-08-22 14:00:00,30.8,51.0,0.1,8.3,0.0,1.0,Hujan Ringan,wmo:51
22-08-2026,UKMO,Open-Meteo / UK Met Office,15:00,2026-08-22 15:00:00,30.7,51.0,0.0,7.6,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,16:00,2026-08-22 16:00:00,30.7,53.0,0.0,8.3,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,17:00,2026-08-22 17:00:00,29.4,61.0,0.0,9.7,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,18:00,2026-08-22 18:00:00,27.0,68.0,0.0,9.0,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,19:00,2026-08-22 19:00:00,25.2,75.0,0.0,7.9,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,UKMO,Open-Meteo / UK Met Office,20:00,2026-08-22 20:00:00,25.3,75.0,0.0,7.9,0.0,1.0,Cerah Berawan,wmo:1
22-08-2026,UKMO,Open-Meteo / UK Met Office,21:00,2026-08-22 21:00:00,24.4,79.0,0.0,7.6,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,22:00,2026-08-22 22:00:00,22.5,88.0,0.0,5.0,0.0,1.0,Cerah,wmo:0
22-08-2026,UKMO,Open-Meteo / UK Met Office,23:00,2026-08-22 23:00:00,21.4,92.0,0.0,5.0,0.0,1.0,Cerah,wmo:0
